4.898,3.35,0.03
4.897,3.33,0.03
4.896,3.48,0.05
4.895,3.42,0.05
4.894,3.37,0.06
4.893,3.41,0.07
4.892,3.63,0.11
4.891,3.73,0.13
4.89,3.90,0.16
4.889,3.99,0.12
4.888,4.07,0.07
4.887,4.14,0.03
4.886,4.15,-0.02
4.885,4.16,-0.07
4.884,3.68,-0.15
4.883,4.10,-0.15
4.882,4.04,-0.20
4.881,3.96,-0.25
4.88,3.89,-0.29
4.879,3.91,-0.31
4.878,3.84,-0.33
4.877,3.82,-0.36
4.876,3.79,-0.38
4.875,3.80,-0.39
4.874,3.73,-0.38
4.873,3.72,-0.37
4.872,3.67,-0.36
4.871,3.60,-0.35
4.87,3.32,-0.36
4.869,3.77,-0.31
4.868,3.76,-0.30
4.867,3.80,-0.29
4.866,3.56,-0.31
4.865,3.63,-0.30
4.864,3.94,-0.27
4.863,3.66,-0.29
4.862,3.54,-0.31
4.861,3.53,-0.31
4.86,3.44,-0.31
4.859,3.43,-0.27
4.858,3.41,-0.22
4.857,3.50,-0.17
4.856,3.39,-0.13
4.855,3.40,-0.08
4.854,3.40,-0.07
4.853,3.40,-0.06
4.852,3.41,-0.05
4.851,3.87,0.00
4.85,3.42,-0.04
4.849,3.42,-0.02
4.848,3.42,0.00
4.847,3.48,0.02
4.846,3.54,0.04
4.845,3.61,0.06
4.844,3.66,0.03
4.843,3.68,-0.01
4.842,3.75,-0.04
4.841,3.73,-0.09
4.84,3.75,-0.12
4.839,3.73,-0.14
4.838,3.67,-0.15
4.837,3.61,-0.17
4.836,3.58,-0.18
4.835,3.55,-0.19
4.834,3.43,-0.24
4.833,3.46,-0.28
4.832,3.38,-0.33
4.831,3.48,-0.36
4.83,3.21,-0.42
4.829,3.35,-0.39
4.828,3.32,-0.37
4.827,3.35,-0.34
4.826,3.45,-0.31
4.825,3.49,-0.28
4.824,3.57,-0.26
4.823,3.44,-0.27
4.822,3.48,-0.25
4.821,3.41,-0.25
4.82,3.34,-0.25
4.819,3.50,-0.22
4.818,3.57,-0.19
4.817,3.73,-0.15
4.816,3.67,-0.14
4.815,3.87,-0.10
4.814,3.72,-0.11
4.813,3.74,-0.10
4.812,3.76,-0.09
4.811,3.78,-0.08
4.81,3.81,-0.07
4.809,3.83,-0.10
4.808,3.25,-0.20
4.807,3.28,-0.23
4.806,3.27,-0.27
4.805,3.81,-0.26
4.804,3.24,-0.31
4.803,2.80,-0.35
4.802,2.91,-0.35
4.801,2.94,-0.34
4.8,2.38,-0.40
4.799,3.27,-0.31
4.798,3.16,-0.32
4.797,3.27,-0.31
4.796,3.30,-0.31
4.795,3.31,-0.30
4.794,3.30,-0.30
4.793,3.28,-0.30
4.792,3.25,-0.30
4.791,3.22,-0.30
4.79,3.31,-0.29
4.789,3.28,-0.30
4.788,3.29,-0.31
4.787,3.27,-0.32
4.786,3.21,-0.33
4.785,3.16,-0.35
4.784,3.10,-0.32
4.783,3.05,-0.29
4.782,2.99,-0.26
4.781,3.06,-0.23
4.78,3.51,-0.17
4.779,3.19,-0.17
4.778,3.28,-0.13
4.777,3.26,-0.10
4.776,3.51,-0.05
4.775,3.54,-0.01
4.774,3.57,-0.01
4.773,3.61,-0.01
4.772,3.64,-0.01
4.771,3.68,-0.01
4.77,3.72,-0.01
4.769,3.75,-0.04
4.768,3.75,-0.08
4.767,3.64,-0.13
4.766,3.57,-0.17
4.765,3.48,-0.21
4.764,3.39,-0.25
4.763,3.28,-0.29
4.762,3.16,-0.33
4.761,3.03,-0.38
4.76,2.93,-0.42
4.759,2.85,-0.41
4.758,2.81,-0.39
4.757,3.76,-0.29
4.756,3.09,-0.33
4.755,3.21,-0.30
4.754,3.37,-0.28
4.753,3.40,-0.26
4.752,3.45,-0.25
4.751,3.48,-0.24
4.75,3.73,-0.21
4.749,3.90,-0.20
4.748,4.04,-0.20
4.747,3.99,-0.21
4.746,3.91,-0.23
4.745,3.83,-0.25
4.744,3.75,-0.23
4.743,3.71,-0.22
4.742,3.89,-0.19
4.741,3.63,-0.19
4.74,3.75,-0.16
4.739,4.19,-0.11
4.738,3.71,-0.16
4.737,3.74,-0.15
4.736,3.80,-0.13
4.735,4.09,-0.10
4.734,3.92,-0.10
4.733,3.99,-0.07
4.732,4.07,-0.05
4.731,4.04,-0.04
4.73,4.07,-0.02
4.729,3.97,-0.02
4.728,3.88,-0.02
4.727,3.90,-0.01
4.726,3.81,-0.01
4.725,3.80,0.00
4.724,3.76,-0.06
4.723,3.67,-0.12
4.722,3.58,-0.18
4.721,3.56,-0.24
4.72,3.53,-0.30
4.719,3.36,-0.30
4.718,3.35,-0.29
4.717,3.38,-0.28
4.716,3.40,-0.27
4.715,3.63,-0.22
4.714,3.62,-0.23
4.713,3.62,-0.23
4.712,3.89,-0.20
4.711,3.64,-0.23
4.71,3.67,-0.23
4.709,3.63,-0.22
4.708,3.60,-0.22
4.707,3.56,-0.22
4.706,3.52,-0.22
4.705,3.53,-0.21
4.704,3.47,-0.21
4.703,3.45,-0.22
4.702,3.50,-0.21
4.701,3.34,-0.23
4.7,3.27,-0.23
4.699,3.25,-0.21
4.698,2.92,-0.21
4.697,3.27,-0.15
4.696,3.37,-0.11
4.695,3.49,-0.07
4.694,3.59,-0.07
4.693,3.70,-0.07
4.692,3.77,-0.07
4.691,3.90,-0.06
4.69,4.34,-0.03
4.689,4.07,-0.04
4.688,4.10,-0.02
4.687,3.96,-0.02
4.686,3.87,-0.02
4.685,3.78,-0.01
4.684,3.69,-0.04
4.683,3.61,-0.07
4.682,3.61,-0.08
4.681,3.58,-0.09
4.68,3.56,-0.11
4.679,3.56,-0.14
4.678,3.56,-0.17
4.677,3.83,-0.18
4.676,3.66,-0.23
4.675,3.71,-0.26
4.674,4.14,-0.22
4.673,3.79,-0.25
4.672,3.79,-0.25
4.671,3.81,-0.24
4.67,3.85,-0.23
4.669,3.68,-0.26
4.668,3.61,-0.28
4.667,3.50,-0.30
4.666,3.44,-0.31
4.665,3.42,-0.33
4.664,3.43,-0.31
4.663,3.46,-0.29
4.662,3.53,-0.27
4.661,3.23,-0.29
4.66,3.66,-0.23
4.659,3.71,-0.21
4.658,3.70,-0.19
4.657,3.87,-0.15
4.656,3.90,-0.13
4.655,3.96,-0.10
4.654,4.04,-0.09
4.653,3.97,-0.09
4.652,4.01,-0.08
4.651,3.99,-0.07
4.65,4.01,-0.07
4.649,4.02,-0.12
4.648,3.95,-0.18
4.647,4.56,-0.18
4.646,4.01,-0.28
4.645,4.04,-0.33
4.644,3.98,-0.32
4.643,4.03,-0.30
4.642,4.07,-0.28
4.641,3.96,-0.27
4.64,3.88,-0.25
4.639,4.00,-0.24
4.638,4.02,-0.22
4.637,4.04,-0.21
4.636,4.05,-0.20
4.635,4.09,-0.19
4.634,4.11,-0.15
4.633,4.12,-0.12
4.632,4.10,-0.09
4.631,4.02,-0.07
4.63,4.00,-0.04
4.629,3.59,-0.10
4.628,3.82,-0.08
4.627,3.73,-0.11
4.626,3.65,-0.13
4.625,3.79,-0.13
4.624,4.06,-0.13
4.623,3.36,-0.21
4.622,3.23,-0.25
4.621,3.32,-0.26
4.62,3.18,-0.29
4.619,3.24,-0.25
4.618,3.31,-0.21
4.617,3.34,-0.17
4.616,3.38,-0.13
4.615,3.40,-0.09
4.614,3.73,-0.06
4.613,3.64,-0.06
4.612,3.66,-0.06
4.611,3.70,-0.05
4.61,3.74,-0.04
4.609,3.77,-0.06
4.608,3.80,-0.09
4.607,3.85,-0.11
4.606,4.06,-0.11
4.605,4.03,-0.14
4.604,3.98,-0.16
4.603,3.98,-0.18
4.602,4.13,-0.17
4.601,3.56,-0.24
4.6,3.36,-0.28
4.599,3.44,-0.27
4.598,3.39,-0.28
4.597,3.44,-0.28
4.596,3.50,-0.27
4.595,3.71,-0.25
4.594,3.78,-0.24
4.593,3.57,-0.26
4.592,3.91,-0.23
4.591,3.98,-0.22
4.59,3.92,-0.23
4.589,3.80,-0.23
4.588,3.91,-0.20
4.587,4.01,-0.18
4.586,4.11,-0.14
4.585,4.12,-0.13
4.584,4.16,-0.12
4.583,4.15,-0.12
4.582,4.11,-0.13
4.581,4.06,-0.13
4.58,3.93,-0.15
4.579,4.50,-0.06
4.578,3.94,-0.09
4.577,3.95,-0.07
4.576,3.84,-0.05
4.575,3.98,-0.01
4.574,4.21,-0.02
4.573,4.00,-0.07
4.572,4.00,-0.10
4.571,4.01,-0.12
4.57,4.01,-0.15
4.569,4.01,-0.14
4.568,4.06,-0.12
4.567,4.04,-0.11
4.566,4.05,-0.09
4.565,3.74,-0.11
4.564,3.88,-0.10
4.563,3.71,-0.12
4.562,3.90,-0.11
4.561,3.99,-0.11
4.56,3.82,-0.13
4.559,3.87,-0.16
4.558,3.95,-0.18
4.557,4.24,-0.18
4.556,4.00,-0.23
4.555,4.01,-0.26
4.554,4.00,-0.26
4.553,3.98,-0.26
4.552,3.95,-0.26
4.551,3.92,-0.26
4.55,3.87,-0.26
4.549,3.81,-0.27
4.548,3.75,-0.28
4.547,3.76,-0.29
4.546,3.65,-0.30
4.545,3.54,-0.32
4.544,3.59,-0.32
4.543,3.49,-0.32
4.542,3.44,-0.33
4.541,3.40,-0.33
4.54,3.33,-0.33
4.539,3.09,-0.33
4.538,3.09,-0.30
4.537,2.99,-0.28
4.536,2.98,-0.25
4.535,2.92,-0.23
4.534,3.63,-0.17
4.533,2.84,-0.24
4.532,2.79,-0.25
4.531,2.85,-0.24
4.53,2.83,-0.24
4.529,2.91,-0.26
4.528,2.91,-0.28
4.527,3.05,-0.28
4.526,3.08,-0.30
4.525,3.08,-0.32
4.524,3.09,-0.33
4.523,3.04,-0.34
4.522,2.97,-0.36
4.521,3.14,-0.35
4.52,3.14,-0.35
4.519,3.14,-0.34
4.518,3.13,-0.32
4.517,3.13,-0.30
4.516,3.15,-0.28
4.515,2.86,-0.29
4.514,3.20,-0.27
4.513,3.24,-0.29
4.512,3.98,-0.24
4.511,3.25,-0.33
4.51,3.48,-0.32
4.509,3.68,-0.27
4.508,4.19,-0.19
4.507,3.43,-0.24
4.506,3.42,-0.21
4.505,3.41,-0.19
4.504,3.40,-0.18
4.503,3.42,-0.18
4.502,3.43,-0.17
4.501,3.35,-0.17
4.5,3.43,-0.16
4.499,3.43,-0.13
4.498,3.47,-0.10
4.497,3.53,-0.06
4.496,3.59,-0.03
4.495,3.64,0.01
4.494,3.67,-0.01
4.493,3.30,-0.07
4.492,3.72,-0.04
4.491,3.66,-0.07
4.49,3.78,-0.08
4.489,3.82,-0.11
4.488,3.83,-0.15
4.487,3.87,-0.18
4.486,3.89,-0.22
4.485,3.91,-0.25
4.484,3.95,-0.25
4.483,3.99,-0.25
4.482,4.00,-0.25
4.481,4.07,-0.25
4.48,4.02,-0.25
4.479,4.21,-0.23
4.478,4.14,-0.23
4.477,4.15,-0.22
4.476,4.16,-0.22
4.475,4.14,-0.21
4.474,4.06,-0.23
4.473,3.97,-0.25
4.472,3.90,-0.27
4.471,3.85,-0.29
4.47,3.49,-0.34
4.469,3.95,-0.29
4.468,3.39,-0.34
4.467,3.37,-0.34
4.466,3.35,-0.34
4.465,3.31,-0.34
4.464,3.22,-0.35
4.463,3.15,-0.36
4.462,3.08,-0.37
4.461,3.09,-0.36
4.46,3.06,-0.37
4.459,3.13,-0.37
4.458,3.28,-0.36
4.457,3.43,-0.35
4.456,3.58,-0.34
4.455,3.58,-0.35
4.454,3.59,-0.33
4.453,3.60,-0.30
4.452,3.55,-0.28
4.451,3.60,-0.26
4.45,3.53,-0.24
4.449,3.75,-0.24
4.448,3.73,-0.25
4.447,3.78,-0.26
4.446,4.29,-0.23
4.445,3.78,-0.29
4.444,3.76,-0.26
4.443,3.60,-0.25
4.442,3.75,-0.20
4.441,3.76,-0.16
4.44,3.65,-0.15
4.439,3.72,-0.17
