# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0.879,-2.43,-2.43,-4.243980566,-86.19,-3.308884612,211.19,-1.470516576,0.8879732834
0.88,-2.4,-2.4,-4.18734912,-85.36,-3.291687842,213.817,-1.404378235,0.8916716783
0.881,-2.32,-2.32,-4.036849741,-82.98,-3.241661084,213.907,-1.402126783,0.8693010656
0.882,-2.21,-2.21,-3.831142892,-79.77,-3.172350027,214.057,-1.398376468,0.8381912364
0.883,-2.09,-2.09,-3.60835946,-76.41,-3.097269057,214.934,-1.376502085,0.8065587946
0.884,-1.99,-1.99,-3.424001124,-73.23,-3.023548711,216.017,-1.349612429,0.7829579142
0.885,-1.9,-1.9,-3.25908482,-70.77,-2.964573561,215.01,-1.374610676,0.751082379
0.886,-1.86,-1.86,-3.186094663,-69.56,-2.934900992,213.278,-1.417881795,0.7319672998
0.887,-1.87,-1.87,-3.20432455,-69.9,-2.943284345,212.516,-1.437030512,0.7315283614
0.888,-1.92,-1.92,-3.295650509,-71.41,-2.980088036,209.479,-1.514037256,0.7333241275
0.889,-1.96,-1.96,-3.368923107,-72.8,-3.013366796,210.219,-1.49517129,0.7472318173
0.89,-1.97,-1.97,-3.387270678,-73.21,-3.023076297,209.934,-1.502429362,0.7484844642
0.891,-1.96,-1.96,-3.368923107,-72.89,-3.015502249,207.698,-1.559717665,0.7363412406
0.892,-1.94,-1.94,-3.332263271,-72.29,-3.001221955,208.158,-1.547881832,0.7325098364
0.893,-1.92,-1.92,-3.295650509,-71.64,-2.98563368,210.343,-1.492016464,0.7360223337
0.894,-1.89,-1.89,-3.240819628,-70.9,-2.967734903,211.894,-1.452712058,0.7331429734
0.895,-1.86,-1.86,-3.186094663,-70.04,-2.946725886,213.382,-1.41527363,0.7304206825
0.896,-1.84,-1.84,-3.149670195,-69.2,-2.925985106,211.029,-1.474596687,0.7157394962
0.897,-1.82,-1.82,-3.113292801,-68.7,-2.913534006,215.049,-1.373640344,0.726187588
0.898,-1.83,-1.83,-3.131475614,-69.17,-2.925240275,212.709,-1.432174024,0.7186545504
0.899,-1.84,-1.84,-3.149670195,-69.22,-2.926481502,214.983,-1.375282548,0.7321810678
0.9,-1.7,-1.7,-2.89601698,-65.04,-2.819892826,217.903,-1.303105407,0.7024055836
0.901,-1.43,-1.431192661,-2.415455681,-57,-2.597181069,223.896,-1.157951086,0.6432411913
0.902,-1.2,-1.202003339,-2.012437599,-49.95,-2.379932558,230.701,-0.9977675843,0.5958011412
0.903,-1.14,-1.142857143,-1.909435429,-47.81,-2.309465044,233.669,-0.9293780836,0.5895424241
0.904,-1.2,-1.204013378,-2.015945284,-50.08,-2.384142643,234.925,-0.9006981769,0.6137117122
0.905,-1.23,-1.235146444,-2.070335778,-51.04,-2.414986594,236.186,-0.8720579367,0.6298471951
0.906,-1.17,-1.175879397,-1.966892404,-49.1,-2.352207112,237.314,-0.8465677089,0.6148892978
0.907,-1.12,-1.126571668,-1.881146814,-47.68,-2.305112688,237.012,-0.853380324,0.5955836556
0.908,-1.13,-1.137583893,-1.900272135,-48.01,-2.316144783,235.364,-0.8907100603,0.5925656842
0.909,-1.17,-1.17884131,-1.972052247,-49.19,-2.355159087,232.764,-0.950138862,0.5966337309
0.91,-1.19,-1.2,-2.00894208,-49.98,-2.380904825,225.928,-1.109615408,0.5755423105
0.911,-1.21,-1.221194281,-2.045946784,-50.55,-2.39929726,221.555,-1.214183827,0.5661982821
0.912,-1.24,-1.252525253,-2.10074674,-51.62,-2.433413615,219.295,-1.269037432,0.5673935222
0.913,-1.28,-1.294018534,-2.173499057,-53.17,-2.481903844,215.803,-1.354915102,0.5664846552
0.914,-1.33,-1.345699831,-2.264397896,-54.82,-2.532343258,211.734,-1.456753339,0.5676467943
0.915,-1.37,-1.387341772,-2.337867839,-56.42,-2.580126957,208.476,-1.53971495,0.5674654251
0.916,-1.42,-1.439189189,-2.429628784,-58.08,-2.628565725,204.83,-1.634107996,0.569977658
0.917,-1.47,-1.49112426,-2.521862017,-59.83,-2.67841794,201.93,-1.710395059,0.5746114082
