# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0.15,-2.05,-2.05,-3.534474905,-69.52,-2.933912345,202.0128957,-1.708199245,0.7613937831
0.151,-2.07,-2.07,-3.571393646,-70.36,-2.954569584,202.5737296,-1.693367002,0.7683826101
0.152,-2.12,-2.12,-3.663896445,-71.89,-2.991643825,201.999816,-1.70854565,0.7795210096
0.153,-2.14,-2.14,-3.700979943,-72.5,-3.006231852,200.8034467,-1.740325903,0.7797187213
0.154,-2.15,-2.15,-3.719539345,-72.84,-3.014316172,198.5731339,-1.800080521,0.7725868021
0.155,-2.2,-2.2,-3.81251288,-74.67,-3.057269627,195.3196141,-1.888463598,0.7708690919
0.156,-2.29,-2.29,-3.980606652,-77.6,-3.124175293,191.4772184,-1.994759677,0.7776239931
0.157,-2.35,-2.35,-4.093198745,-79.65,-3.169714912,189.0723814,-2.062377929,0.7823253274
0.158,-2.36,-2.36,-4.112005283,-80.16,-3.180891462,187.9854175,-2.093223455,0.7796578852
0.159,-2.36,-2.36,-4.112005283,-80.08,-3.179142188,187.4694579,-2.107927675,0.7777474839
0.16,-2.35,-2.35,-4.093198745,-79.74,-3.171691558,187.2982267,-2.112816501,0.7745657115
0.161,-2.32,-2.32,-4.036849741,-78.8,-3.150953915,191.4924982,-1.994332765,0.7845723653
0.162,-2.26,-2.26,-3.924469479,-77.11,-3.11313935,197.1057128,-1.839762899,0.7923575476
0.163,-2.18,-2.18,-3.775288161,-74.75,-3.059126326,200.8080178,-1.740204116,0.7866280945
0.164,-2.09,-2.09,-3.60835946,-72.1,-2.996678165,200.5946519,-1.745891709,0.7608447647
0.165,-2.01,-2.01,-3.460778644,-69.69,-2.938110641,196.4338754,-1.858029593,0.721575783
0.166,-1.95,-1.95,-3.350587305,-67.83,-2.891677997,192.6732168,-1.961446623,0.6903979533
0.167,-1.9,-1.9,-3.25908482,-66.54,-2.858813947,189.3114907,-2.055616358,0.6631663526
0.168,-1.87,-1.87,-3.20432455,-65.6,-2.834513924,186.7142777,-2.129522517,0.645507862
0.169,-1.84,-1.84,-3.149670195,-64.53,-2.80648182,189.3368314,-2.054900268,0.6478960382
0.17,-1.78,-1.78,-3.040679233,-62.88,-2.7624572,194.8026845,-1.902641589,0.6517931067
0.171,-1.71,-1.71,-2.914058572,-60.72,-2.703307654,197.6057849,-1.826206733,0.6433490047
0.172,-1.64,-1.64,-2.788014563,-58.39,-2.637486208,198.2370864,-1.809142055,0.626995197
0.173,-1.57,-1.57,-2.662547206,-56.39,-2.579241016,198.7104849,-1.79638126,0.6084956694
0.174,-1.52,-1.52,-2.573280717,-54.94,-2.535965106,198.5134133,-1.801689767,0.5932423838
0.175,-1.5,-1.5,-2.5376565,-54.09,-2.510175365,197.025069,-1.841952245,0.5830841206
0.176,-1.5,-1.5,-2.5376565,-54.14,-2.511701147,194.1593917,-1.920338015,0.5725708656
0.177,-1.54,-1.54,-2.608952007,-55.45,-2.55128866,190.7459707,-2.015230336,0.5713218339
0.178,-1.59,-1.59,-2.69833618,-57.38,-2.608278556,191.9913331,-1.980414222,0.5880402787
0.179,-1.63,-1.63,-2.77005535,-58.79,-2.648939152,199.3681373,-1.778704132,0.625627489
0.18,-1.64,-1.64,-2.788014563,-59.04,-2.656064638,207.4665522,-1.565682749,0.6603935071
0.181,-1.62,-1.62,-2.752107905,-58.57,-2.642648004,212.9610753,-1.425837648,0.6764452772
0.182,-1.61,-1.61,-2.734172228,-58.05,-2.627700383,213.4746063,-1.412952269,0.6766659903
0.183,-1.59,-1.59,-2.69833618,-57.67,-2.616707599,205.861855,-1.607224404,0.6388209323
0.184,-1.59,-1.59,-2.69833618,-57.73,-2.618447227,199.954328,-1.762996912,0.6158554337
0.185,-1.64,-1.64,-2.788014563,-59.29,-2.663165197,199.3154933,-1.780117007,0.6274673621
0.186,-1.74,-1.74,-2.968253959,-62.78,-2.759757269,201.5184842,-1.72130902,0.6623990292
0.187,-1.81,-1.81,-3.095121756,-65.53,-2.832692234,204.5455297,-1.641543303,0.6917654939
0.188,-1.75,-1.75,-2.986342625,-63.68,-2.783925094,209.6374174,-1.509992877,0.6954819923
0.189,-1.53,-1.53,-2.591110478,-56.98,-2.596595332,219.7391492,-1.258212765,0.6721762569
0.19,-1.24,-1.24,-2.078825379,-47.92,-2.313141326,229.0874426,-1.035317756,0.6208304561
