# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
2.159,-0.99,-1.98,-3.405630017,-59.78,-2.677010475,279.625,0.03118143774,1.287169341
2.16,-0.89,-1.78,-3.040679233,-56.57,-2.584550994,282.139,0.07906627831,1.213609173
2.161,-0.78,-1.56,-2.644670371,-53.35,-2.487464795,284.468,0.123048157,1.118529759
2.162,-0.72,-1.44,-2.431066291,-51.44,-2.427711506,287.969,0.1884897114,1.085674629
2.163,-0.66,-1.32,-2.219156861,-49.58,-2.367906163,290.978,0.2441020385,1.044897142
2.164,-0.57,-1.14,-1.904470183,-46.55,-2.266928506,294.943,0.3165113695,0.976442499
2.165,-0.47,-0.94,-1.559290311,-43.33,-2.154570265,297.342,0.3598510461,0.8688213148
2.166,-0.41,-0.82,-1.354441921,-41.19,-2.076888401,299.649,0.4012001165,0.8082899028
2.167,-0.35,-0.7,-1.15128818,-39.49,-2.013403076,301.474,0.4336852485,0.7287935606
2.168,-0.28,-0.56,-0.9164173312,-37.01,-1.917880312,303.266,0.4653921905,0.6309293122
2.169,-0.19,-0.38,-0.6178298248,-33.88,-1.792218728,305.261,0.5004712856,0.478289954
2.17,-0.11,-0.22,-0.3556197128,-31.16,-1.678212608,307.198,0.5343118677,0.3108833662
2.171,-0.06,-0.12,-0.1932682848,-29.05,-1.586585709,308.636,0.5592968929,0.1881343218
2.172,0,0,0,-26.92,-1.491179042,310.034,0.5834755753,-0
2.173,0.06,0.12,0.1915736352,-24.51,-1.379604216,311.437,0.6076313694,-0.2481611056
2.174,0.13,0.26,0.4129343608,-22.02,-1.260164562,313.015,0.6346704948,-0.6601731057
2.175,0.19,0.38,0.6008362552,-19.4,-1.129785566,313.735,0.6469624826,-1.244423218
2.176,0.26,0.52,0.8179132832,-16.27,-0.9675019767,317.074,0.7036002822,-3.099310463
2.177,0.35,0.7,1.09362302,-12.15,-0.7426561335,321.359,0.7754170405,33.38195181
2.178,0.44,0.88,1.365519795,-7.83,-0.4926076386,330.942,0.9326228056,3.103347106
2.179,0.49,0.98,1.514925983,-5.3,-0.3391162088,337.875,1.043543666,2.150577702
2.18,0.48,0.96,1.485138893,-5.8,-0.3698722461,338.546,1.054157917,2.170349249
2.181,0.45,0.9,1.39549518,-7.54,-0.4752821432,338.777,1.057807137,2.395597091
2.182,0.46,0.92,1.425423491,-6.77,-0.4289443897,338.883,1.059480837,2.260652016
2.183,0.53,1.06,1.633603609,-2.97,-0.1930093327,338.908,1.059875502,1.88449344
2.184,0.57,1.14,1.751528057,-0.7,-0.04618381899,339.279,1.065728903,1.717950569
2.185,0.5,1,1.544666,-4.04,-0.2606780338,338.471,1.052972571,1.949610818
2.186,0.35,0.7,1.09362302,-10.82,-0.6672615596,338.315,1.050506207,2.853589805
2.187,0.24,0.48,0.7561266432,-15.64,-0.9339583489,335.008,0.9979531467,11.81543921
