# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
3.514,1.11,2.22,3.3,13,0.9393040821,426.137,2.285197808,1.023413883
3.515,1.115,2.23,3.3,13,0.9393040821,426.337,2.287708148,1.022617754
3.516,1.115,2.23,3.3,12,0.8613433732,426.849,2.294129258,1.045802131
3.517,1.1,2.2,3.27,12,0.8613433732,427.516,2.302482715,1.033558707
3.518,1.09,2.18,3.24,12,0.8613433732,428.608,2.316130745,1.019677857
3.519,1.145,2.29,3.38,10,0.7083572001,429.27,2.324387632,1.11450194
3.52,1.165,2.33,3.44,9,0.6333153419,429.317,2.324973362,1.162834444
3.521,1.175,2.35,3.47,6,0.4138963161,429.593,2.328411673,1.265357507
3.522,1.18,2.36,3.47,4,0.2722904524,430.379,2.338191296,1.329256564
3.523,1.185,2.37,3.49,2,0.1343468725,429.29,2.324636886,1.419285503
3.524,1.2,2.4,3.54,-2,-0.1308157415,427.124,2.297574917,1.633776398
3.525,1.235,2.47,3.63,-10,-0.6200789244,425.868,2.281819541,2.184456445
3.526,1.245,2.49,3.66,-8,-0.5027319434,423.964,2.257846763,2.085333654
3.527,1.225,2.45,3.61,-6,-0.3821161368,422.293,2.236718756,1.946508628
3.528,1.25,2.5,3.67,-5,-0.3205619313,422.025,2.233322406,1.918692931
3.529,1.31,2.62,3.83,-7,-0.4428367418,421.029,2.220681217,2.154294177
3.53,1.25,2.5,3.69,-2,-0.1308157415,419.222,2.197670319,1.785321541
3.531,1.24,2.48,3.66,1,0.06672794636,418.847,2.192882527,1.619748202
3.532,1.235,2.47,3.64,3,0.2028649755,420.041,2.208111984,1.509761421
3.533,1.215,2.43,3.58,6,0.4138963161,421.296,2.2240729,1.35710454
3.534,1.21,2.42,3.56,8,0.5592300399,422.494,2.239264605,1.272112493
3.535,1.2,2.4,3.54,10,0.7083572001,424.102,2.259587901,1.192744434
3.536,1.22,2.44,3.58,11,0.7843638115,425.203,2.273458897,1.17076768
3.537,1.145,2.29,3.39,14,1.018254135,426.004,2.283527779,1.026718326
3.538,1.165,2.33,3.44,15,1.09820173,426.161,2.285499111,1.016638338
3.539,1.14,2.28,3.37,16,1.179155063,426.552,2.290405451,0.9713045747
3.54,1.11,2.22,3.29,18,1.344111733,426.941,2.295282234,0.9039966625
3.541,1.135,2.27,3.35,16,1.179155063,427.521,2.302545285,0.9621735545
3.542,1.145,2.29,3.37,15,1.09820173,428.141,2.310298348,0.9887046862
3.543,1.15,2.3,3.39,14,1.018254135,428.607,2.316118263,1.01668308
3.544,1.175,2.35,3.44,11,0.7843638115,429.572,2.32815014,1.105215929
3.545,1.22,2.44,3.56,9,0.6333153419,429.911,2.332370468,1.200396882
3.546,1.195,2.39,3.49,8,0.5592300399,430.323,2.337495121,1.204808812
3.547,1.195,2.39,3.49,7,0.4860930969,431.128,2.347493951,1.231654416
3.548,1.205,2.41,3.5,6,0.4138963161,431.998,2.35827917,1.262546335
3.549,1.2,2.4,3.49,5,0.3426315003,433.175,2.37283569,1.285230038
