# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0.088,-1.52,-1.52,-2.57,-92,-3.426124186,225.413,-1.121824586,0.5650899183
0.089,-1.46,-1.46,-2.47,-106,-3.693891798,226.269,-1.101546579,0.5150728267
0.09,-1.34,-1.34,-2.25,-102,-3.618648331,228.7,-1.044373568,0.4825197155
0.091,-1.3,-1.3,-2.17,-91,-3.406299423,232.85,-0.9481625468,0.498339408
0.092,-1.2,-1.2,-2,-87,-3.325549881,240.433,-0.7767111234,0.4875360192
0.093,-1.14,-1.14,-1.9,-94,-3.465395947,236.169,-0.8724430284,0.4380061157
0.094,-1.09,-1.09,-1.82,-57,-2.597181069,238.619,-0.8172284217,0.5330350695
0.095,-1.02,-1.02,-1.69,-87,-3.325549881,243.908,-0.6999405464,0.4198246227
0.096,-0.86,-0.86,-1.42,-76,-3.087915426,258.371,-0.3917514879,0.4080850366
0.097,-0.78,-0.78,-1.29,-77,-3.110653654,258.619,-0.3866186997,0.3688588905
0.098,-0.73,-0.73,-1.19,-60,-2.683195989,258.379,-0.3915858372,0.3870193292
0.099,-0.75,-0.75,-1.24,-61,-2.71107478,257.902,-0.4014717355,0.3983876205
0.1,-0.59,-0.59,-0.96,-70,-2.945743207,258.885,-0.3811188383,0.2885602069
0.101,-0.66,-0.66,-1.07,-86,-3.304958889,254.314,-0.4764249348,0.2829651921
0.102,-0.64,-0.64,-1.06,-99,-3.561754237,252.918,-0.5058734667,0.260594154
0.103,-0.6,-0.6,-0.97,-76,-3.087915426,252.476,-0.5152313166,0.2692091301
0.104,-0.53,-0.53,-0.87,-91,-3.406299423,254.738,-0.4675126802,0.2245849765
0.105,-0.66,-0.66,-1.08,-77,-3.110653654,250.598,-0.5551751288,0.2946127776
0.106,-0.82,-0.82,-1.36,-69,-2.92101419,243.442,-0.7101718002,0.3745332803
0.107,-1.04,-1.04,-1.73,-74,-3.041651351,230.773,-0.9960981511,0.4284564952
0.108,-1.12,-1.12,-1.86,-53,-2.476638538,231.128,-0.9878745258,0.5368719833
0.109,-1.03,-1.03,-1.71,-83,-3.242086103,234.987,-0.8992864232,0.4129065881
0.11,-1.12,-1.12,-1.86,-86,-3.304958889,238.812,-0.8129029797,0.4516907219
0.111,-1.08,-1.08,-1.79,-92,-3.426124186,244.652,-0.6836461176,0.4355474559
0.112,-0.86,-0.86,-1.48,-80,-3.177391465,255.083,-0.4602719024,0.4068545796
0.113,-0.85,-0.85,-1.26,-91,-3.406299423,271.384,-0.1288618206,0.3564193861
0.114,-0.8,-0.8,-0.98,-79,-3.155383476,275.182,-0.0545080296,0.3053062691
0.115,-0.8,-0.8,-0.69,-35,-1.837851888,280.188,0.04194235617,0.3842064358
0.116,-0.7,-0.7,-0.43,-28,-1.539924701,285.921,0.1503052283,0.3094372296
0.117,-0.5,-0.5,-0.04,-42,-2.106580651,291.038,0.2452051009,0.02148948395
0.118,-0.3,-0.3,0.32,-54,-2.507426187,294.413,0.3068889994,-0.1454190376
0.119,-0.2,-0.2,0.68,1,0.06672794636,298.043,0.3724491187,1.548350436
0.12,0,0,1.05,1,0.06672794636,300.514,0.416621771,2.172340155
0.121,0.2,0.2,1.15,-5,-0.3205619313,304.764,0.4917537721,6.717609876
0.122,0.3,0.3,1.42,-2,-0.1308157415,303.335,0.4666093003,4.228788679
0.123,0.4,0.4,1.61,5,0.3426315003,301.269,0.4300460522,2.083663483
0.124,0.5,0.5,1.61,-32,-1.713908066,296.565,0.3458523818,-1.176852681
0.125,0.5,0.5,1.46,4,0.2722904524,291.389,0.2516534635,2.786557789
0.126,0.5,0.5,0.97,-1,-0.0658451636,282.941,0.09425245684,34.1461607
