# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
2.124,-0.01,-0.02,-0.0320936968,-26.93,-1.491633917,252.615,-0.5122866987,0.01601545318
2.125,0.03,0.06,0.0959986488,-25.55,-1.42823174,253.432,-0.495011806,-0.04991497256
2.126,0.08,0.16,0.2550549248,-23.34,-1.324016234,255.152,-0.4588249221,-0.1430609362
2.127,0.18,0.36,0.5696369568,-19.44,-1.131813056,257.221,-0.4156172973,-0.3681179936
2.128,0.32,0.64,1.002143437,-13.13,-0.7973224563,259.561,-0.3671671363,-0.8605859968
2.129,0.49,0.98,1.514925983,-4.96,-0.3180823083,263.602,-0.2845168725,-2.513986131
2.13,0.62,1.24,1.897874461,1.16,0.07748688771,272.7,-0.1029812075,-74.44303176
2.131,0.7,1.4,2.12958088,3.04,0.2056245185,273.195,-0.09327878958,18.95560162
2.132,0.72,1.44,2.187036749,3.69,0.2506710171,273.903,-0.0794319025,12.77182935
2.133,0.72,1.44,2.187036749,3.68,0.2499750781,274.926,-0.05948741582,11.48125145
2.134,0.71,1.42,2.158332351,3.47,0.235381436,275.18,-0.0545469131,11.93539993
2.135,0.7,1.4,2.12958088,3.05,0.2063146311,275.381,-0.05064053379,13.6797381
2.136,0.67,1.34,2.043044025,2.41,0.1623300733,275.491,-0.04850392127,17.94881042
2.137,0.63,1.26,1.927002521,1.43,0.0956944162,275.447,-0.04935846389,41.58763173
2.138,0.57,1.14,1.751528057,-0.14,-0.00927127891,275.215,-0.05386649267,-27.74136643
2.139,0.49,0.98,1.514925983,-3.54,-0.2291788342,273.408,-0.0891092184,-4.759606812
2.14,0.39,0.78,1.214936767,-7.65,-0.4818619997,272.554,-0.1058462943,-2.067244549
2.141,0.26,0.52,0.8179132832,-12.79,-0.7784413185,268.379,-0.188432099,-0.8459362605
2.142,0.08,0.16,0.2550549248,-19.51,-1.135358379,263.683,-0.2828731694,-0.1798401151
2.143,-0.13,-0.26,-0.4208897992,-27.44,-1.514744942,258.675,-0.3854603642,0.2214970129
2.144,-0.34,-0.68,-1.117593981,-35.01,-1.838255943,250.007,-0.5678072498,0.4644907018
2.145,-0.5,-1,-1.66235,-40.85,-2.064318663,234.526,-0.909792419,0.5589401184
