age_kyr,gmsl_m
-5248.2999999998101,8.5500000000000007
-5248.1999999998097,8.548
-5248.0999999998103,8.5459999999999994
-5247.9999999998099,8.5440000000000005
-5247.8999999998096,8.5389999999999997
-5247.7999999998101,8.5399999999999991
-5247.6999999998097,8.5359999999999996
-5247.5999999998103,8.532
-5247.4999999998099,8.5299999999999994
-5247.3999999998096,8.5299999999999994
-5247.2999999998101,8.5299999999999994
-5247.1999999998097,8.5269999999999992
-5247.0999999998103,8.5289999999999999
-5246.9999999998099,8.5289999999999999
-5246.8999999998096,8.5289999999999999
-5246.7999999998101,8.5280000000000005
-5246.6999999998097,8.5239999999999991
-5246.5999999998103,8.5239999999999991
-5246.4999999998099,8.5220000000000002
-5246.3999999998096,8.5250000000000004
-5246.2999999998001,8.5250000000000004
-5246.1999999997997,8.5250000000000004
-5246.0999999998003,8.5239999999999991
-5245.9999999997999,8.5259999999999998
-5245.8999999997995,8.5289999999999999
-5245.7999999998001,8.5269999999999992
-5245.6999999997997,8.5210000000000008
-5245.5999999998003,8.52
-5245.4999999997999,8.5169999999999995
-5245.3999999997995,8.516
-5245.2999999998001,8.516
-5245.1999999997997,8.5259999999999998
-5245.0999999998003,8.5340000000000007
-5244.9999999997999,8.5329999999999995
-5244.8999999997995,8.5280000000000005
-5244.7999999998001,8.5239999999999991
-5244.6999999997997,8.5289999999999999
-5244.5999999998003,8.5299999999999994
-5244.4999999997999,8.5280000000000005
-5244.3999999997995,8.5370000000000008
-5244.2999999998001,8.5419999999999998
-5244.1999999997997,8.5419999999999998
-5244.0999999998003,8.5410000000000004
-5243.9999999997999,8.5429999999999993
-5243.8999999997995,8.5470000000000006
-5243.7999999998001,8.5440000000000005
-5243.6999999997997,8.5500000000000007
-5243.5999999997903,8.5559999999999992
-5243.4999999997899,8.5619999999999994
-5243.3999999997905,8.5660000000000007
-5243.2999999997901,8.5649999999999995
-5243.1999999997897,8.5649999999999995
-5243.0999999997903,8.5730000000000004
-5242.9999999997899,8.577
-5242.8999999997905,8.577
-5242.7999999997901,8.5779999999999994
-5242.6999999997897,8.5879999999999992
-5242.5999999997903,8.5950000000000006
-5242.4999999997899,8.5990000000000002
-5242.3999999997905,8.6039999999999992
-5242.2999999997901,8.6129999999999995
-5242.1999999997897,8.6199999999999992
-5242.0999999997903,8.6199999999999992
-5241.9999999997899,8.6280000000000001
-5241.8999999997905,8.6319999999999997
-5241.7999999997901,8.6370000000000005
-5241.6999999997897,8.641
-5241.5999999997903,8.64
-5241.4999999997899,8.6449999999999996
-5241.3999999997905,8.6489999999999991
-5241.2999999997901,8.6530000000000005
-5241.1999999997897,8.6549999999999994
-5241.0999999997903,8.6560000000000006
-5240.9999999997899,8.6549999999999994
-5240.8999999997804,8.6560000000000006
-5240.7999999997801,8.6590000000000007
-5240.6999999997797,8.66
-5240.5999999997803,8.6609999999999996
-5240.4999999997799,8.6609999999999996
-5240.3999999997804,8.6609999999999996
-5240.2999999997801,8.6609999999999996
-5240.1999999997797,8.6609999999999996
